"_source/@timestamp","_source/netflow/tcp_flags","_source/netflow/flowset_id","_source/netflow/l4_src_port","_source/netflow/last_switched","_source/netflow/ipv4_dst_addr","_source/netflow/first_switched","_source/netflow/version","_source/netflow/protocol","_source/netflow/output_snmp","_source/netflow/in_bytes","_source/netflow/flow_seq_num","_source/netflow/l4_dst_port","_source/netflow/ipv4_src_addr","_source/netflow/input_snmp","_source/netflow/ip_protocol_version","_source/netflow/in_pkts","_source/host","_source/netflow/ipv6_src_addr","_source/netflow/ipv6_dst_addr","Anomaly"
2018-04-05 12:59:01,27,1024,33646,2018-04-05 12:53:42,"192.168.1.108",2018-04-05 12:53:31,9,6,0,2310,387,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 12:59:01,27,1024,22,2018-04-05 12:53:23,"192.168.1.102",2018-04-05 12:53:12,9,6,0,3173,374,33636,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:59:01,27,1024,33642,2018-04-05 12:53:42,"192.168.1.108",2018-04-05 12:53:31,9,6,0,2310,380,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 12:59:01,27,1024,33630,2018-04-05 12:53:04,"192.168.1.108",2018-04-05 12:52:53,9,6,0,2310,374,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 12:59:01,27,1024,33644,2018-04-05 12:53:42,"192.168.1.108",2018-04-05 12:53:31,9,6,0,2310,380,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 13:02:01,0,1024,56105,2018-04-05 12:56:32,"239.255.255.250",2018-04-05 12:56:29,9,17,0,800,428,1900,"192.168.1.108",0,4,4,"127.0.0.1",NA,NA,0
2018-04-05 13:02:01,27,1024,33714,2018-04-05 12:56:25,"192.168.1.108",2018-04-05 12:56:12,9,6,0,2310,428,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 13:02:01,27,1024,443,2018-04-05 12:56:48,"192.168.1.108",2018-04-05 12:56:34,9,6,0,1124269,433,43608,"217.146.190.232",0,4,764,"127.0.0.1",NA,NA,0
2018-04-05 13:02:01,27,1024,22,2018-04-05 12:56:25,"192.168.1.102",2018-04-05 12:56:12,9,6,0,3173,428,33710,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 13:02:01,27,1024,33702,2018-04-05 12:56:04,"192.168.1.108",2018-04-05 12:55:50,9,6,0,2310,422,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 13:02:01,27,1024,22,2018-04-05 12:56:25,"192.168.1.102",2018-04-05 12:56:12,9,6,0,3173,428,33714,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 13:00:01,27,1024,22,2018-04-05 12:54:20,"192.168.1.102",2018-04-05 12:54:08,9,6,0,3173,389,33658,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 13:00:01,27,1024,33666,2018-04-05 12:54:40,"192.168.1.108",2018-04-05 12:54:28,9,6,0,2310,395,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 13:00:01,27,1024,22,2018-04-05 12:55:00,"192.168.1.102",2018-04-05 12:54:48,9,6,0,3173,402,33676,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 13:00:01,27,1024,33652,2018-04-05 12:54:01,"192.168.1.108",2018-04-05 12:53:49,9,6,0,2310,389,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 13:00:01,27,1024,22,2018-04-05 12:54:01,"192.168.1.102",2018-04-05 12:53:49,9,6,0,3173,389,33652,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 13:00:01,27,1024,22,2018-04-05 12:54:01,"192.168.1.102",2018-04-05 12:53:49,9,6,0,3173,389,33656,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 13:00:01,27,1024,33678,2018-04-05 12:55:00,"192.168.1.108",2018-04-05 12:54:48,9,6,0,2310,402,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 13:00:01,27,1024,33660,2018-04-05 12:54:20,"192.168.1.108",2018-04-05 12:54:08,9,6,0,2310,389,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 13:01:01,27,1024,33692,2018-04-05 12:55:43,"192.168.1.108",2018-04-05 12:55:29,9,6,0,2310,414,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 13:01:01,27,1024,33696,2018-04-05 12:55:43,"192.168.1.108",2018-04-05 12:55:29,9,6,0,2310,420,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 13:01:01,27,1024,33686,2018-04-05 12:55:21,"192.168.1.108",2018-04-05 12:55:09,9,6,0,2310,407,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 13:01:01,27,1024,33694,2018-04-05 12:55:43,"192.168.1.108",2018-04-05 12:55:29,9,6,0,2310,420,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 13:01:01,27,1024,33684,2018-04-05 12:55:21,"192.168.1.108",2018-04-05 12:55:09,9,6,0,2310,407,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 13:01:01,0,1024,55370,2018-04-05 12:55:16,"239.255.255.250",2018-04-05 12:52:22,9,17,0,1485,407,1900,"192.168.1.103",0,4,9,"127.0.0.1",NA,NA,0
2018-04-05 12:55:01,27,1024,22,2018-04-05 12:49:21,"192.168.1.102",2018-04-05 12:49:08,9,6,0,3173,315,33536,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:55:01,27,1024,22,2018-04-05 12:49:24,"192.168.1.102",2018-04-05 12:49:12,9,6,0,3173,321,33540,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:55:01,27,1024,22,2018-04-05 12:49:44,"192.168.1.102",2018-04-05 12:49:32,9,6,0,3173,321,33548,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
