"_source/@timestamp","_source/netflow/tcp_flags","_source/netflow/l4_src_port","_source/netflow/ipv4_dst_addr","_source/netflow/in_bytes","_source/netflow/l4_dst_port","_source/netflow/ipv4_src_addr","_source/netflow/in_pkts","Anomaly"
2018-04-05 13:15:01,27,34022,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:15:01,30,33124,"185.60.218.24",1005,443,"192.168.1.108",8,0
2018-04-05 13:15:01,27,34030,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:15:01,26,443,"192.168.1.108",3878,33126,"185.60.218.24",7,0
2018-04-05 13:15:01,27,34024,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:15:01,27,22,"192.168.1.102",3173,34030,"192.168.1.108",25,0
2018-04-05 13:15:01,27,22,"192.168.1.102",3173,34034,"192.168.1.108",25,0
2018-04-05 13:15:01,27,34014,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:15:01,26,443,"192.168.1.108",3825,36438,"157.240.20.15",6,0
2018-04-05 13:15:01,26,443,"192.168.1.108",3825,45176,"31.13.92.36",6,0
2018-04-05 13:14:01,27,22,"192.168.1.102",3173,34000,"192.168.1.108",25,0
2018-04-05 13:14:01,27,47142,"104.24.5.71",6120,443,"192.168.1.108",113,0
2018-04-05 13:14:01,27,34006,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:14:01,0,68,"192.168.1.1",656,67,"192.168.1.108",2,0
2018-04-05 13:14:01,27,33996,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:14:01,0,45342,"239.255.255.250",800,1900,"192.168.1.108",4,0
2018-04-05 13:14:01,27,34008,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:13:01,27,22,"192.168.1.102",3173,33968,"192.168.1.108",25,0
2018-04-05 13:13:01,27,33974,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:13:01,27,33968,"192.168.1.108",2326,22,"192.168.1.102",18,1
2018-04-05 13:13:01,27,22,"192.168.1.102",3173,33986,"192.168.1.108",25,0
2018-04-05 13:13:01,27,22,"192.168.1.102",3173,33974,"192.168.1.108",25,0
2018-04-05 13:13:01,27,33972,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:13:01,27,22,"192.168.1.102",3173,33980,"192.168.1.108",25,0
2018-04-05 13:13:01,27,33966,"192.168.1.108",2310,22,"192.168.1.102",18,1
2018-04-05 13:17:00,27,49442,"192.168.1.1",6797,80,"192.168.1.108",100,0
2018-04-05 13:17:00,27,80,"192.168.1.108",192665,49440,"192.168.1.1",142,0
2018-04-05 13:17:00,26,52494,"64.95.202.18",1063,443,"192.168.1.108",10,0
2018-04-05 13:17:00,27,22,"192.168.1.102",3173,34076,"192.168.1.108",25,0
2018-04-05 13:17:00,27,34060,"192.168.1.108",2310,22,"192.168.1.102",18,1
